Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090,Prevalence of moderate or severe food insecurity in the total population (percent) (annual value),2023,2023,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090TSUB,Prevalence of moderate or severe food insecurity in the town and semi-dense area adult population (percent) (annual value),20172019,2017-2019,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090TSUB,Prevalence of moderate or severe food insecurity in the town and semi-dense area adult population (percent) (annual value),2018,2018,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090TSUB,Prevalence of moderate or severe food insecurity in the town and semi-dense area adult population (percent) (annual value),20182020,2018-2020,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090TSUB,Prevalence of moderate or severe food insecurity in the town and semi-dense area adult population (percent) (annual value),2019,2019,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090TSUB,Prevalence of moderate or severe food insecurity in the town and semi-dense area adult population (percent) (annual value),20192021,2019-2021,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090TSUB,Prevalence of moderate or severe food insecurity in the town and semi-dense area adult population (percent) (annual value),2020,2020,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090TSUB,Prevalence of moderate or severe food insecurity in the town and semi-dense area adult population (percent) (annual value),20202022,2020-2022,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090TSUB,Prevalence of moderate or severe food insecurity in the town and semi-dense area adult population (percent) (annual value),2021,2021,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090TSUB,Prevalence of moderate or severe food insecurity in the town and semi-dense area adult population (percent) (annual value),20212023,2021-2023,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090TSUB,Prevalence of moderate or severe food insecurity in the town and semi-dense area adult population (percent) (annual value),2022,2022,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090TSUB,Prevalence of moderate or severe food insecurity in the town and semi-dense area adult population (percent) (annual value),20222024,2022-2024,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090TSUB,Prevalence of moderate or severe food insecurity in the town and semi-dense area adult population (percent) (annual value),2023,2023,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090U,Prevalence of moderate or severe food insecurity in the urban adult population (percent) (annual value),20172019,2017-2019,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090U,Prevalence of moderate or severe food insecurity in the urban adult population (percent) (annual value),2018,2018,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090U,Prevalence of moderate or severe food insecurity in the urban adult population (percent) (annual value),20182020,2018-2020,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090U,Prevalence of moderate or severe food insecurity in the urban adult population (percent) (annual value),2019,2019,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090U,Prevalence of moderate or severe food insecurity in the urban adult population (percent) (annual value),20192021,2019-2021,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090U,Prevalence of moderate or severe food insecurity in the urban adult population (percent) (annual value),2020,2020,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090U,Prevalence of moderate or severe food insecurity in the urban adult population (percent) (annual value),20202022,2020-2022,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090U,Prevalence of moderate or severe food insecurity in the urban adult population (percent) (annual value),2021,2021,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090U,Prevalence of moderate or severe food insecurity in the urban adult population (percent) (annual value),20212023,2021-2023,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090U,Prevalence of moderate or severe food insecurity in the urban adult population (percent) (annual value),2022,2022,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090U,Prevalence of moderate or severe food insecurity in the urban adult population (percent) (annual value),20222024,2022-2024,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090U,Prevalence of moderate or severe food insecurity in the urban adult population (percent) (annual value),2023,2023,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20172019,2017-2019,%,,Q,Missing value; suppressed,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2018,2018,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20182020,2018-2020,%,,Q,Missing value; suppressed,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2019,2019,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,,Q,Missing value; suppressed,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2020,2020,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20202022,2020-2022,%,,Q,Missing value; suppressed,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2021,2021,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20212023,2021-2023,%,,Q,Missing value; suppressed,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2022,2022,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20222024,2022-2024,%,,Q,Missing value; suppressed,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),2023,2023,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value),20172019,2017-2019,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value),2018,2018,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value),20182020,2018-2020,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value),2019,2019,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value),20192021,2019-2021,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value),2020,2020,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value),20202022,2020-2022,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value),2021,2021,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value),20212023,2021-2023,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value),2022,2022,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value),20222024,2022-2024,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value),2023,2023,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20172019,2017-2019,%,,Q,Missing value; suppressed,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2018,2018,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20182020,2018-2020,%,,Q,Missing value; suppressed,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2019,2019,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,,Q,Missing value; suppressed,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2020,2020,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20202022,2020-2022,%,,Q,Missing value; suppressed,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2021,2021,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20212023,2021-2023,%,,Q,Missing value; suppressed,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2022,2022,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20222024,2022-2024,%,,Q,Missing value; suppressed,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),2023,2023,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value),20172019,2017-2019,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value),2018,2018,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value),20182020,2018-2020,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value),2019,2019,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value),20192021,2019-2021,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value),2020,2020,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value),20202022,2020-2022,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value),2021,2021,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value),20212023,2021-2023,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value),2022,2022,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value),20222024,2022-2024,,,,,
FS,Suite of Food Security Indicators,IND,India,6121,Value,210090F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value),2023,2023,,,,,
